0.000000	0.000000
149.612235	149.612235	
150.221343	150.221343	
150.919280	150.919280	
151.604527	151.604527	
152.277084	152.277084	
152.822744	152.822744	
153.647578	153.647578	
154.218617	154.218617	
154.840415	154.840415	
155.500282	155.500282	
156.223598	156.223598	
156.807327	156.807327	
157.517954	157.517954	
158.114372	158.114372	
158.786929	158.786929	
159.434107	159.434107	
160.157423	160.157423	
160.906119	160.906119	
161.515227	161.515227	
162.124335	162.124335	
162.746134	162.746134	
163.355242	163.355242	
164.027799	164.027799	
164.674977	164.674977	
165.550570	165.550570	
166.210437	166.210437	
166.946443	166.946443	
167.466723	167.466723	
167.987003	167.987003	
168.799148	168.799148	
169.370187	169.370187	
170.080813	170.080813	
170.626473	170.626473	
171.311720	171.311720	
172.238072	172.238072	
173.316701	173.316701	
174.027328	174.027328	
174.674505	174.674505	
175.385132	175.385132	
176.057689	176.057689	
176.603348	176.603348	
177.225146	177.225146	
178.088050	178.088050	
178.722538	178.722538	
179.293577	179.293577	
179.889995	179.889995	
180.689450	180.689450	
181.247799	181.247799	
181.894977	181.894977	
182.656362	182.656362	
183.303540	183.303540	
183.988787	183.988787	
184.800931	184.800931	
185.968389	185.968389	
186.945500	186.945500	
187.960681	187.960681	
188.645928	188.645928	
189.293105	189.293105	
190.041801	190.041801	
190.727048	190.727048	
191.374225	191.374225	
192.148301	192.148301	
192.744719	192.744719	
193.429966	193.429966	
194.178662	194.178662	
194.800460	194.800460	
195.561845	195.561845	
196.297851	196.297851	
197.071926	197.071926	
197.998279	197.998279	
198.594697	198.594697	
199.165736	199.165736	
199.990570	199.990570	
201.094579	201.094579	
201.792516	201.792516	
202.452383	202.452383	
203.251838	203.251838	
204.051293	204.051293	
204.901506	204.901506	
205.548684	205.548684	
206.424277	206.424277	
207.109524	207.109524	
207.985117	207.985117	
208.848021	208.848021	
209.520578	209.520578	
210.231204	210.231204	
211.005279	211.005279	
211.614388	211.614388	
212.350394	212.350394	
213.086400	213.086400	
213.733577	213.733577	
214.456893	214.456893	
215.459384	215.459384	
216.360357	216.360357	
216.982155	216.982155	
217.629333	217.629333	
218.644513	218.644513	
219.570865	219.570865	
220.294182	220.294182	
220.915980	220.915980	
221.690055	221.690055	
222.349922	222.349922	
223.098618	223.098618	
224.139178	224.139178	
225.090910	225.090910	
225.649259	225.649259	
226.588301	226.588301	
227.400445	227.400445	
228.187210	228.187210	
228.770939	228.770939	
229.532325	229.532325	
230.509436	230.509436	
231.118544	231.118544	
231.803791	231.803791	
232.362140	232.362140	
233.060077	233.060077	
233.669185	233.669185	
234.341743	234.341743	
234.849333	234.849333	
235.382303	235.382303	
235.940652	235.940652	
236.486311	236.486311	
237.082730	237.082730	
237.641079	237.641079	
238.135980	238.135980	
238.719709	238.719709	
239.379576	239.379576	
239.887166	239.887166	
240.496275	240.496275	
241.067314	241.067314	
241.727181	241.727181	
242.272841	242.272841	
242.818500	242.818500	
243.617955	243.617955	
244.353961	244.353961	
244.848861	244.848861	
245.267623	245.267623	
245.737144	245.737144	
246.358942	246.358942	
246.866533	246.866533	
247.336054	247.336054	
247.729436	247.729436	
248.363924	248.363924	
248.846135	248.846135	
249.315656	249.315656	
249.861315	249.861315	
250.406975	250.406975	
250.914565	250.914565	
251.460225	251.460225	
252.018574	252.018574	
253.135273	253.135273	
253.757071	253.757071	
254.186936	254.186936	
254.645354	254.645354	
255.183082	255.183082	
256.523438	256.523438	
256.978286	256.978286	
257.458911	257.459307	
258.077933	258.077933	
258.534764	258.534764	
259.078838	259.078838	
259.637187	259.637187	
260.160639	260.160639	
260.725334	260.725334	
261.413753	261.413753	
261.851550	261.851550	
262.309967	262.309967	
262.871489	262.871489	
263.464735	263.464735	
264.016739	264.016739	
264.533847	264.533847	
265.168335	265.168335	
265.764753	265.764753	
266.307240	266.307240	
266.751382	266.751382	
267.408077	267.408077	
267.861736	267.861736	
268.502568	268.502568	
269.302023	269.302023	
270.307686	270.307686	
271.227694	271.227694	
271.963700	271.963700	
272.655291	272.655291	
273.378608	273.378608	
274.025785	274.025785	
274.644411	274.644411	
275.266209	275.266209	
276.014905	276.014905	
276.687462	276.687462	
277.296570	277.296570	
277.791471	277.791471	
278.311751	278.311751	
278.857410	278.857410	
279.631485	279.631485	
280.494389	280.494389	
281.090807	281.090807	
281.534949	281.534949	
282.182126	282.182126	
282.689717	282.689717	
283.603379	283.603379	
284.923114	284.923114	
285.697189	285.697189	
286.382436	286.382436	
286.877337	286.877337	
287.448376	287.448376	
288.146312	288.146312	
288.691972	288.691972	
289.177355	289.177355	
289.605634	289.605634	
290.113225	290.113225	
290.627160	290.627160	
291.064956	291.064956	
291.557478	291.557478	
291.921515	291.921515	
292.598038	292.598038	
293.105628	293.105628	
293.638598	293.638598	
294.425363	294.425363	
295.354094	295.354094	
295.988582	295.988582	
296.914934	296.914934	
297.866666	297.866666	
298.767639	298.767639	
299.300609	299.300609	
300.341169	300.341169	
302.244632	302.244632	
302.777602	302.777602	
303.310572	303.310572	
303.868921	303.868921	
304.452650	304.452650	
304.922171	304.922171	
305.467831	305.467831	
306.102318	306.102318	
306.559150	306.559150	
307.193638	307.193638	
307.777366	307.777366	
308.361095	308.361095	
308.881375	308.881375	
309.503173	309.503173	
310.378767	310.378767	
311.470086	311.470086	
312.256851	312.256851	
312.980167	312.980167	
313.957278	313.957278	
